"WHAT"	what
(1h)5"whoa" IX-3p:i FUTURE BUY FLOWER FOR REALLY	he will buy flowers for sure.
SOUP fs-GAZPACHO SOUP IX-3p:i COLD NOT HOT (1h)5"why is it so"	the soup, gazpacho soup, is cold not hot.
(1h)5"wow" POSS-3p:i FRIEND REALLY ADULT-TALL MAN2	wow, his/her friend is a tall man.
FATHER+ IX-3p:i LIKE CHOCOLATE fs-CEREAL IX-3p:i (1h)5"you know"	dad likes chocolate cereal.
PEOPLE IX-1p MEET PAST+NIGHT IX-loc:i (L-X)INTERESTING (1h)5-C-L"that's the way it is"	the people i met last night were really interesting!
IX-1p LOOK fs-JOHN MANIPULATE+ fs-MARY IX-1p (1h)ANGRY HUNGRY/WISH IX-3p-pl-2:i/j RELATIONSHIP-OFF	i wish john and mary will stop being in a relationship after seeing john play with her.
IX-2p (1h)DO-DO THAT FOR-FOR IX-2p	what is that for?
LIE (1h)FINISH NOT FUNNY WHERE MOTHER+ (1h)part:indef	stop lying, it's not funny. where's mom?
IX-3p:i (5)MAN (1h)FINISH TELL:j DO-DO+	what did the man tell him/her?
IX-1p KNOW IX-3p:i FINISH i:TELL-1p PAST+ FINISH	i know, he/she already told me.
IX-3p:i PRESIDENT (1h)FINISH DEPART DO-DO IX-1p FUTURE TALK WITH IX-loc:j ANSWER+AGENT	after the president left, he talked with the reporters.
LONG-AGO+ IX-1p LIE+ NOW IX-1p (1h)FINISH IX-1p TELL HONEST	i used to lie but now i tell the truth.
(1h)FISH fs-ANN VOMIT/HATE BUT CHICKEN+ FINE+ ICL:x-over-thumb"eating out of a bowl"	ann hates fish but likes chicken.
DRIVE+ TIRE (1h)FLAT-TIRE3 (2h)IX-1p 5"panic" CALL-BY-PHONE fs-AAA GO VERY-FAST	i was driving and i got a flat tire, so i called aaa and they came very quickly.
IX-1p BABY BORN IX-1p WANT (1h)GIFT:i ns-IRELAND NAME BUT IX-3p:j IX-1p FATHER IX-loc:j (1h)WANT (1h)GIFT:i ns-ITALY NAME+ part:indef	if i have a baby, i want to give it an irish name but the father wants to give it an italian name.
IX-2p (1h)GO LOOK MOVIE2 LOOK OH-I-SEE+ FUTURE KNOW+ IX-3p:i FAMOUS ACT+           IX-2p	when you watch that movie, you will remember that famous actor.
IX-1p (2h)LOOK MOVIE PAST+NIGHT ACT+AGENT (1h)GOOD/THANK-YOU	i watched a movie last night and the actor was good.
POSS-1p TEACH+AGENT IX-3p:i (1h)GOOD/THANK-YOU ADVISE/INFLUENCE++AGENT (1h)GOOD/THANK-YOU	my teacher is a good advisior.
ALCOHOL+ SELF-3p+:i NOT ALWAYS (1h)GOOD/THANK-YOU part:indef	alcohol is not always good.
fs-JOE IX-3p:i INTERPRET (1h)GOOD/THANK-YOU SKILL (1h)part:indef	joe is a good interpreter, but he isn't proficient.
fs-JOHN IX-loc:i GO-OUT LIBRARY READ2+ (1h)GOOD/THANK-YOU BOOK	john is going to the library to read a good book.
IX-3p:i MAGAZINE QUOTE/TOPIC PEOPLE fs-PEOPLE KNOW IX-2p THINK (1h)GOOD/THANK-YOU IX-2p QMwg	do you think people magazine is any good?
POSS-1p WIFE POSS-3p:i MOTHER+ IX-loc:j EAT IX-1p LIE 1p-TELL:i (1h)GOOD/THANK-YOU REALLY (1h)part:indef	i lied and told my wife that her mom's food was good when really it wasn't.
fs-JOHN IX-3p:i (1h)GOOD/THANK-YOU (2h)alt.LIE IX-1p LCL:bent-B-xd"swallow fish"++ IX-1p REALLY SICK/SILLY IX-3p:i	john is a really good liar. i fell for everything he said. i'm sick of him.
NOW (1h)GOOD/THANK-YOU fs-DAY QMwg	is today a good day?
IX-1p (1h)HAPPY+	i'm happy.
IX-1p VERY NOT (1h)HAPPY+	i am very unhappy.
IX-1p NOT (1h)HAPPY+ (1h)part:indef	i'm not happy.
MOTHER+ IX-3p:i (1h)HATE/VOMIT SURPRISE IX-3p:i	mom hates surprises.
POSS-1p+ NEXT-TO2 RECENT-PAST TAKE-UP DCL:crvd-B"small puppies" DOG (25)WHY RECENT-PAST (1h)HAVE KID	my neighbor recently adopted puppies because she just had children .
fs-PHIL (1h)HAVE MANY CHILDREN IX-3p-pl-arc MANY part:indef	how many children does phil have?
CAT IX-3p:i (1h)HAVE NEXT-TO FIND/FIND-OUT IX-3p:j REALLY HUNGRY/WISH (1h)WOW/AWFUL	the cat the neighbors found is really hungry. wow.
LIBRARY (1h)HAVE MANY MAGAZINE	the library has a lot of magazines.
IX-pl-2:i/j fs-JOHN fs-MARY (1h)HAVE STRANGE BICYCLE SCL:crvd-V?two people on tandem bicycle?	john and mary have a strange bike. two people can ride on it.
IX-3p:i POSS-1p NEPHEW IX-loc:i (1h)HAVE STRANGE SHOE RED LIGHT DCL"blinking lights on shoes"	my nephew has strange shoes that have red blinking lights.
IX-1p NOT (1h)HAVE ONE-DOLLAR+ (1h)part:indef	i don't even have one dollar.
fs-MARY IX-3p:i (1h)HAVE MANY DIFFERENT++-arc FRIEND	mary has many different friends.
NOW (1h)HAVE BIG SCL:5-C"big house" HOUSE REALLY BEAUTIFUL	now there is a big expensive house. it's really beautiful.
IX-3p:i fs-PETE LOVE DRIVE+ (1h)HAVE DIFFERENT++-arc CAR+	pete loves driving; he has many different cars.
(1h)INFORM-2p IX-3p:i CAR BREAK-DOWN IX-1p USE2 CORRECT KEY2	i'm letting you know that the car is broken down, i used the the right key.
IX-2p FINGERSPELL+ LOUSY (1h)INFORM:i	just so you know, your fingerspelling is lousy.
IX-1p (1h)INFORM:i IX-3p:i FINE+ IX-3p:i (1h)part:indef	no, i told her that it was fine.
IX-3p:i LCL:3"parked car" RED LIGHT HIT2 IX-1p FEEL IX-loc:j CAR+AGENT PHONE (1h)L-X"I don't know" THINK (1h)L"I don't know"	the guy who hit the parked car at the red light was talking on the phone, i think
fs-JOHN IX-3p:i (L)LIVE (1h)LAST-YEAR WHERE	where did john live last year?
(1h)LAST-YEAR IX-1p-pl-2:i READ+ MANY BOOK+	last year, we read a lot of books.
fs-SUE fs-BEN DECIDE MOVE ns-BOSTON ARRIVE (1h)LAST-YEAR+	sue and ben decided to move here to boston. they arrived last year.
(P)PARTY2 PCL:5"people moving around" FINISH IX-1p CAN (1h)LEAVE HOME	when the party is finished, i can go home.
(1h)WOW/AWFUL SOMETHING/ONE TELL-1p PRESIDENT (1h)MAYBE FIRED 5-C-L"I don't know"	wow, someone told me that the president might get fired.
fs-BILL PLAN (1h)MOVE ns-NEW-YORK QMwg	is bill planning on moving to new york?
IX-3p:j fs-JIM ASSAULT (5)MAN IX-3p:i (1h)NOW IX-3p:i THREAT FUTURE i:SUE:j fs-JIM 5-C-L"out of my control"	jim assaulted a man and now the man is threatening to sue jim.
POSS-1p CAR DIFFERENT NOW NOT BIG (1h)NOW SMALL	my car is different now. it's small not big.
(1h)NOW RECENT-PAST ARRIVE NOW	i just arrived now.
IX-3p:i fs-JACK (1h)PAY/BUY CAR YESTERDAY DO-DO KIND	what kind of car did jack buy yesterday?
IX-1p (1h)PAY/BUY fs-GIFT FOR MOTHER IX-3p:i FUTURE LOVE IX-3p:j	i bought a gift for my mom. she will love it!
COAT RECENT-PAST (1h)PAY/BUY IX-3p:i APPEARANCE WARM IX-3p:i	the coat you just bought looks warm!
NOT (1h)PAY/BUY CAR INSURANCE/INFECTION FOR-FOR++	why didn't you buy car insurance?
IX-3p:i (5)MAN RECENT-PAST (1h)PAY/BUY SOMETHING/ONE BIG (Y)WOW IX-1p 5"wave no" CANNOT 1p-TELL-2p:j DO-DO+	wow, that man recently bought something big, but i can't tell you what it is.
IX-2p FINISH HOMEWORK IX-2p THEN CAN (1h)PLAY GO-OUT+	when you finish homework, you can go play outside.
(D)DOCTOR+ i:INFORM-1p MOTHER IX-loc:i ACTION STRANGE IX-3p:i BETTER GO HOSPITAL ALL-NIGHT (1h)STAY	the doctor told me that mom was acting strange and that she better go to the hospital and stay overnight.
WHO (1h)STEAL MONEY2 (1h)part:indef fs-HARRY IX-loc:i	who stole the money? harry stole the money.
fs-PARK IX-loc:i (1h)TEND CROWDED WHY KID LIKE PLAY-continuative IX-loc:i	the park tends to be crowded because kids like playing there.
IX-1p (1h)TEND WORK-OUT+ OVER/AFTER CLASS	i tend to exercise after class.
LONG-AGO+ fs-JOHN TEND DRIVE+ IX-3p:i fs-MARY TO/UNTIL WORK (1h)TEND	in the past, john usually drove mary to work.
COMPUTER5 POSS:1p SISTER (1h)USE2 fs-MAC ONLY	my sister only uses mac computers.
GO-OUT NONE/NOTHING2 RAIN (1h)WAIT WAIT-A-MINUTE	it's not raining outside. oh,wait a minute.
IX-1p (1h)WANT2 GO-OUT NOW	i want to go out now.
(1h)WOW/AWFUL NOT RAIN+ NONE/NOTHING part:indef	wow, it's not raining at all.
PAST+NIGHT (5)ACCIDENT PCL:5"long line of cars" (1h)WOW/AWFUL	last night, there was an accident and traffic was horrible.
IX-1p LOOK MOVIE PAST+NIGHT IX-1p AFRAID (1h)WOW/AWFUL	i watched a movie last night. i was really scared.
NEXT-WEEK fs-PAUL BUSY ALL-DAY WORK INTERPRET+ NIGHT-pl-arc CLASS-pl (1h)WOW/AWFUL	next week, paul will be very busy. he works as an interpreter all day and takes night classes.
RAIN++ (1h)WOW/AWFUL	it's raining so much. wow.
IX-1p TIRED TIRED (1h)WOW/AWFUL	wow, i'm really tired.
(1h)WOW/AWFUL NOW RAIN 5"forget it" IX-1p GO-OUT	wow, it's raining now, whatever, i'm going out still.
(1h)WOW/AWFUL IX-3p:i (5)MAN IX-loc:i KNOW+ fs-GEORGE-CLOONEY	wow, that man knows george clooney.
TEACH+AGENT UPSET WHY++ (1h)part:indef	why is the teacher upset?
POSS-1p CAT IX-loc:i ONLY EAT CAT EAT++ (1h)part:indef FINISH	my cat only eats cat food.
IX-loc:i ns-SEATTLE RAIN++ WHEN part:indef EVERYDAY+ (1h)part:indef	when does rain in seattle? it rains there everyday.
NOW (5)WEATHER NOT LOUSY	the weather's not lousy today.
LIKE PINEAPPLE fs-CREAM+CHEESE IX-1p (1h)part:indef	i do like pineapple cream cheese.
PINEAPPLE fs-CREAM+CHEESE+ NONE/NOTHING WHY+ part:indef	why isnt't there any pineapple cream cheese?
POSS-2p SISTER NOT LIKE PINEAPPLE fs-CREAM+fs-CHEESE (1h)part:indef	your sister doesn't like pineapple cream cheese.
IX-1p+ LIKE CHOCOLATE DRY-CEREAL (1h)part:indef	i like chocolate cereal.
(B)WHY++ CHOCOLATE DRY-CEREAL NONE/NOTHING part:indef	why isn't there any chocolate cereal?
SISTER IX-3p:i NOT LIKE CHOCOLATE DRY-CEREAL (1h)part:indef	my sister doesn't like chocolate cereal.
part:indef IX-1p+ LIKE CHOCOLATE DRY-CEREAL IX-1p (1h)part:indef	hey! i like chocolate cereal.
CAR NOT BREAK IX-2p ICL:A"using key" WRONG fs-KEY (1h)part:indef	the car isn't broken, you're using the wrong key.
IX-loc:i RAIN+ IX-loc:i IX-1p IMPOSSIBLE+ FIND/FIND-OUT UMBRELLA (1h)part:indef	it's raining and it's impossible to find an umbrella.
WHO BUY FLOWER (1h)part:indef	who bought flowers?
ONE-DOLLAR++ IX-1p NONE/NOTHING IX-1p part:indef	i don't even have one dollar!
POSS-1p MOTHER+ IX-3p:i BECOME OLD (1h)part:indef	my mom is getting old.
REALLY SELF-3p+:i OLD NOT IMPORTANT (1h)part:indef	age isn't important.
WHICH COLLEGE fs-MARY GO-OUT WHICH (1h)part:indef	which college does mary go to?
WHO LOVE fs-BILL (1h)part:indef	who loves bill?
(25)WHY FATHER (P)UPSET (1h)part:indef KNOW+(1h)NEG	why is dad upset? i have no idea...
IX-3p:i fs-JACK GO-OUT IX-3p:i SEE SOMETHING/ONE STRANGE QMwg (1h)part:indef	when jack went out, did he see something strange?
GAME FINISH BEFORE SIX QMwg (1h)part:indef	would the game finish before six?
BUY CAR WHO++ (1h)part:indef	nan
IX-1p LIKE IX-3p:i CHOCOLATE fs-CEREAL BUT NONE/NOTHING2 (25)WHY part:indef	i like chocolate cereal but there isn't any. why is that?
EVERYDAY+ IX-3p:i fs-JOHN DRIVE IX-3p:j fs-MARY WORK (1h)part:indef	john drives mary to work everyday.
EVERYDAY+ IX-3p:i fs-JOHN DRIVE IX-3p:j fs-MARY TO/UNTIL WORK (1h)part:indef	everyday, john drives mary to work.
FATHER LOOK:i BOY SMIRK NOT SEEM SORRY (1h)part:indef	father watched the boy smirk and it didn't seem like the boy was sorry.
HAPPEN RAIN IX-1p                NOT HAVE UMBRELLA+	if it happens to rain i won't have an umbrella.
BUY FLOWER WHO (1h)part:indef	who bought the flowers?
IX-3p:i WIN fs-LOTTERY DEPART ns-nat-JAMAICA (1h)part:indef	if you win the lottery, will you go to jamaica?
IX-3p:i WANT+NEG NONE/NOTHING2 (1h)part:indef	he/she doesn't want anything?
IX-3p:i FEEL NONE/NOTHING2 (1h)part:indef FEEL (F)NONE/NOTHING2 (1h)part:indef	he/she really feels nothing?
BOY+ NEVER GO-OUT HOME (1h)part:indef	the boy never goes home.
IX-1p NOT SKILL (1h)part:indef	i'm not skilled.
fs-JOHN IX-3p:i NOT BUY TURKEY (1h)part:indef	john didn't buy the turkey.
BACK-OF-MIND AUTOMATIC (1h)part:indef	i automatically keep information in the back of my mind.
IX-2p RULE BREAK fs-TAX NONE (1h)part:indef	you are breaking the rules if there is no tax.
IX-2p WANT+NEG SOMETHING/ONE (1h)part:indef	you don't want anything?
part:indef IX-1p FOLLOW IX-1p NOT fs-CARE part:indef	i'll follow whatever, i don't care.
IX-1p READ (2h)ANY+(2h)THING IX-1p (5)NOT fs-CARE part:indef	i'll read anything, i don't care.
IX-1p 5"exasperation" IX-3p-pl-2:i/j DOUBT-1p NOT NOT-YET DECIDE IX-1p MYSTERY part:indef	i doubt that the two of them have decided what to do yet, and i'm confused by that.
IX-loc:i RAIN HAPPEN WHO GO-OUT part:indef	who went out when it was raining?
IX-1p NOT WANT GO-OUT RAIN+ NOW part:indef	i don't want to go out; it's raining now.
LAST-WEEK IX-1p TEST IX-1p B (1h)part:indef	i got a b on last week's test.
IX-1p DEPART (2h)LOOK MOVIE FINISH (1h)part:indef	i already went out and saw the movie.
fs-JASON IX-3p:i 5"hands off" GO HOME (25)WHY HOT	jason is going home because he is hot.
MOTHER MUST NICE/CLEAN+ KITCHEN SOON (25)WHY fs-GUEST GO EAT+NIGHT+	mom has to clean the kitchen because soon she is having guest over for dinner.
IX-1p FRIEND KISS-FIST DEPART++ (25)WHY KISS-FIST CAMP+++	my friend loves going out because he loves camping.
(25)WHY IX-loc:i PINEAPPLE CHEESE NONE/NOTHING2 part:indef	why isn't there any pineapple cream cheese?
IX-3p:i NOT FINISH (25)WHY IX-3p:i REST+++	he/she didn't finish because he/she was laying around.
IX-1p FUTURE SERVICE NUT BUTTER (2h)#ALL2 LIKE PERFECT 5"wave no" IX-3p:i fs-BETH 5"whoa" ALLERGY CANNOT EAT NUT BUTTER 5"wave no"	"we will serve peanut butter to everyone that likes it." "no, beth is allergic to peanut butter. she can't eat it so we can't serve it."
IX-1p LIKE MAYBE (2h)THING (2h)ANY+(2h)THING (2h)5"I don't know"	it doesn't matter to me. i like anything.
IX-3p:i WANT NONE/NOTHING2 DOUBT IX-1p NONE/NOTHING2 (2h)5"dismissive gesture"	i doubt that he/she wants anything.
WANT (2h)ANY+(2h)THING part:indef	do you want anything?
IX-1p LIKE (2h)ANY+(2h)THING IX-1p (5)NOT fs-CARE part:indef	no, i like anything, i don't care.
TEACH+AGENT NOT REQUIRE BOOK READ DROP IX-3p:i fs-JOHN FUTURE READ BOOK (2h)B-L:"I don't know"	the teacher didn't make the reading required. it's uncertain whether or not john will read the book now.
IX-loc:i WRITE ONE WRONG WORD SMALL-AMOUNT IX-3p:i (2h)DELETE3 FUTURE	even if there's only one tiny mistake, it will be tossed out.
NOW fs-JOHN PAY/BUY (2h)DO-DO BIG POSTER	what did john buy today? he bought a big poster.
ATTENTION-WAVE THINK SHOULD+ (2h)GO-OUT NOW	do you think i should leave now?
POSS-2p FAMILY IMPORTANT (2h)IX-3p-pl-2 MOTHER+FATHER (2h)IX-3p-pl-2	your family, specifically your parents, are important.
POSS:1p FRIEND (2h)IX-3p:i WANT+NEG GO-OUT THUMB-IX-3p:i	my friend doesn't want to go out.
IX-1p (2h)KNOW+NEG NOT PERMIT SIT TABLE SORRY 5"hands off"	i didn't know that i was not allowed to sit on the table, i'm sorry.
POSS-1p (2h)alt.LONG-AGO (2h)LONG-PAST FROM WHERE ns-nat-GERMANY	my ancestors are from germany.
IX-1p FRESHMAN YEAR POSS-1p FRIEND (2h)LOOK WHY+ IX-1p BALD2 FOLLOW ns-GALLAUDET TRADITION	my friends during my freshman year were shocked because i was bald. i was following a gallaudet tradition.
(2h)LOOK-FORWARD FOOTBALL+ GAME IX-2p	are you watching the football game?
5"hey, no" (2h)MUST WAIT MOTHER+FATHER NOT READY2+ IX-loc:i	you need to wait. mom and dad aren't ready.
IX-1p BELIEVE UP-TO-NOW (2h)NOT-YET DECIDE part:indef	i can't believe there has not been a decision yet.
WHEN FATHER ARRIVE HOME fs-LATE NIGHT+ MOTHER UPSET (2h)alt.ANGRY+++	when father arrives home late at night, mom is upset and angry.
POSS-1p+ CAR (2h)alt.FANCY BLUE SCL:3"big car"	my car is fancy and blue.
PUT-AWAY (2h)alt.FIRE WHO	who is feeding the fire?
BOY IX-loc:i PUT-AWAY+ (2h)alt.FIRE	did the boy feed the fire?
POSS-1p FRIEND IX-loc:i MOST-SKILLED MAKE (2h)alt.FIRE PUT-AWAY+ WHY LONG-AGO IX-3p:i BOY+SCOUT+	my friend is an expert at making fires because he use to be a boy scout.
BOY PUT-AWAY+ (2h)alt.FIRE++	a boy is feeding the fire.
NONE/NOTHING (2h)alt.SEARCH-FOR FIND/FIND-OUT MONEY+ NONE/NOTHING+ part:indef	nobody is looking to find money.
IX-1p NOT SEE (5)ACCIDENT part:indef IX-1p SLEEP part:indef	i didn't see the accident, i was asleep.
IX-3p:i STRUGGLE-continuative IN SCHOOL BECOME (5)DEPRESS	when he struggled a lot in school, he became depressed.
(5)MAN SCL:X"man walking" SEE MONEY2 IX-3p:i ICL:flat-O"holding money" ICL:flat-O"pocketing money"	a man walking saw money on the ground, and seeing no one was around, he pocketed it.
IX-3p:i (5)MAN PAINT+ POSS-1p HOUSE IX-3p:i POSS-1p SISTER KNOW+ IX-3p:i PAST	the man who is painting my house, my sister knew him from a long time ago.
IX-3p:i (5)MAN NAB BREAK ENTER HOUSE IX-loc:j fs-NEWTON FEEL ALSO (5)MAN IX-3p:i+ RESPONSIBILITY BREAK IX-loc-pl-arc IN ns-BROOKLINE 5"I don't know"	i think the man caught breaking and entering a house in newton is the same man responsible for the break-ins in brookline.
IX-3p:i KNOW MANY DIFFERENT-arc (5)MAN	he/she knows many different men.
IX-3p:i (5)MAN BORN WHERE ns-CHICAGO	where was the man born? he was born in chicago.
fs-MARY IX-3p:i THAT (5)MAN IX-3p:i DEPART TOMORROW	mary and that man leave tomorrow.
IX-3p:i (5)MAN DECIDE WANT+NEG BIG CAR FAVORITE/PREFER SMALL CAR	the man decided he didn't want a big car; he prefers a small car.
IX-3p:i (5)MAN FINISH DECIDE READ BOOK TOMORROW	the man decided to read a book tomorrow.
NEAR+ LAST SEMESTER IX-1p (5)SOCIAL/INTERACT IMPOSSIBLE+++	when it's near the end of the semester, it's impossible to hang out.
IF+ (5)WEATHER WARM IX-1p-pl-arc GO fs-BEACH	if the weather is warm, we are going to the beach.
NOW (5)WEATHER LOUSY	the weather is lousy today.
NOW+ (5)WEATHER BEAUTIFUL	the weather is beautiful today.
(5)WOMAN IX-3p:i MARRY PRINCE fs-CHARLES IX-3p:j SON IX-3p:k NOW IX-3p:i (5)WOMAN FAMOUS IX-3p:i	the woman who married prince charles`s son is famous now.
fs-MARY LONG-AGO+ (L)LIVE ns-BOSTON	mary used to live in boston.
IX-2p GO (P)PARTY NEXT-WEEK IX-2p	are you going to the party next week?
FRIEND GO-OUT WHERE (P)PARTY	the friend went out to a party.
(P)PARTY2 NIGHT START EIGHT NINE part:indef	does the party tonight start at 8 or 9?
WHO VISIT ns-BOSTON (Y)YESTERDAY WHO POSS-1p (R)BEST-FRIEND GO	my best friend visited boston yesterday.
IX-1p NOT BORN HERE IX-1p BORN IX-loc:i DIFFERENT (Y)COUNTRY	i wasn't born here, i was born in a different country.
SANDWICH2 IX-1p ICL:tight-C"eating sandwich" RECENT-PAST (Y)WOW DELICIOUS	the sandwich i just ate was delicious!
(Y)YESTERDAY RAIN+ ALL-DAY	yesterday, it rained all day.
IX-2p KNOW+ PRESIDENT ARRIVE (Y)YESTERDAY	did you know the president arrived yesterday?
IX-1p NONE (flat-O)PAY/SPEND IX-1p GO AUNT HOUSE EAT IX-loc:i	if i don't have any money, i go to my aunt's house and eat there.
IX-2p LIKE (nd-1)MOVIE IX-2p	do you like movies?
TEACH+AGENT NOT i:INFORM-1p CLASS CANCEL/CRITICIZE IX-1p ENTER CLASS IX-1p SIT-continuative TWENTY MINUTE WAIT+ 5"exasperation"	the teacher didn't tell me class was cancelled so i went and sat there waiting for about twenty minutes.
IX-1p 1p-ASK:i POSS-1p TEACH+AGENT FOR SOME ADVISE/INFLUENCE IX-1p DISCUSS++ part:indef	i asked my teacher for some advice and we had a discussion.
IX-1p 1p-INFORM:i fs-DAN IX-3p:i INTERPRET MUST STAND+ CANNOT SIT	i told dan that when he inteprets he has to stand; he can't sit.
POSS-1p SISTER ACTION STRANGE IX-1p 1p-LOOK:i	i noticed my sister acting strange.
IX-1p 1p-TELL:i IX-1p FINISH IX-1p GO-OUT TOMORROW	i already told them that i'm going out tomorrow.
PICTURE IX-2p 2p-GIVE-1p WOW BEAUTIFUL	that picture you gave me was beautiful.
NOT-MIND++ 2p-HELP-1p	do you mind helping me?
THAT DRESS/CLOTHES LCL:1"dress over there" 3"contemplation" NOT POSS-1p FAVORITE/PREFER+ part:indef	that dress is not my favorite.
POSS-1p SISTER i:BLAME-1p IX-1p 5"exasperation" IX-1p INNOCENT 5"exasperation"	my sister blamed me but i am innocent!
IX-1p CANNOT BELIEVE fs-JOHN NOT BUY TURKEY 5"exasperation"	i can't believe john didn't buy the turkey.
IX-3p:i APPLY IX-1p MANY fs-TASKS 5"frustration"	they assigned me many tasks.
IX-3p:i CAR BREAK-DOWN 5"frustration"	the car broke down.
LAST-WEEK fs-JOHN ARRIVE fs-LATE 5"frustration"	last week john arrived late.
5"wave no" PINEAPPLE fs-CREAM CHEESE 5"wave no" BETTER fs-LOX IX-1p 5"hands off"	no, not pineapple cream cheese. lox is better for me, that's it.
PAST+ IX-1p LIE NOW IX-1p NOT 5"no more" SORRY+	i used to lie but i don't anymore. i regret lying.
fs-MARY STOP ROWING+ 5"out of my control" NOT CONTINUE ROWING 5"no more"	mary stopped rowing. she's not going to do it any more.
WHEN MOTHER SCL:bent-U-L"person walking" SELL+ IX-1p 5"oh no!" INFORM MUST MILK	when mom walks to the store, i let her know we need milk.
WEATHER IX-3p:i NOT BEAUTIFUL NOW+ 5"oh well"	the weather isn't beautiful today. oh well.
IX-1p fs-SUSHI IX-1p EAT IX-3p:i TASTE STRANGE IX-1p HOPE NOT RUIN 5"out of my control"	the sushi i ate tasted weird. i hope it`s not spoiled.
WORK++ HAPPEN COMPUTER5 CRASH2 IX-1p 5"panic" fs-PANIC FUTURE IX-1p	if i'm working and my computer crashes, i will panic.
RAIN NONE/NOTHING2 NOW GO-OUT+ NONE/NOTHING2 5"perplexed"	it's not raining outside right now.
POSS-3p:i FATHER GO-OUT 5"perplexed"	his/her father left.
IF IX-3p:i ALLERGY NUT+ 5"wave no" CANNOT EAT SHEET-CAKE IX-3p:j	if he is allergic to peanuts, he cannot eat the cake.
5"wave no" IX-1p VOMIT/HATE CHOCOLATE DRY-CEREAL IX-1p	no no no, i hate chocolate cereal.
IX-3p:i fs-DOG i:CHASE:j IX-3p:j CAT IX-loc:j DOG IX-loc:j NOT POSS-1p+ 5"wave no"	the dog that was chasing the cat is not my dog.
IX-3p:i CAR NOT BREAK-DOWN 5"wave no" IX-3p:j fs-TRUCK BREAK-DOWN	the car didn't break down, the truck did.
IX-3p:i fs-JOHN GO-OUT WITH fs-MARY NOT DRIVE 5"wave no" SCL:U-L"person walking" TO/UNTIL WORK	when john goes with mary, they don't drive. they walk to work.
VEGETABLE IX-3p:i BROCCOLI IX-3p:j FINE EAT+ BUT IX-3p:k fs-SPINACH 5"whoa" REFUSE	she is fine with broccoli, but she refuses to eat spinach.
A-LOT HOMEWORK +	is there a lot of homework?
KEY2 IX-loc:i IX-1p HAVE CORRECT FOR CAR A-OK IX-3p:i	i have the right key.
IX-1p OFFICE POSS-1p BOSS WORK ABOVE IX-loc+:i	my boss works in an office right above me.
IX-1p D CLASS IX-1p ACCEPT	i got a d in the class; i accepted it.
IX-3p:i LONG-AGO+ ACCEPT BIG2 BOAT2	he/she used to own a big boat.
POSS-1p FATHER LONG-AGO+ ADULT-TALL NOW SHORT-HEIGHT+	my father used to be tall but now he's short.
IX-3p:i FARM+ IX-loc:i LIKE HOT SUMMER EASY+ GROW+ BIG VEGETABLE ADULT-TALL-pl	farms like the hot summers because it's easy to grow big vegetables.
NOW+AFTERNOON+ IX-1p FUTURE GO SELL+	this afternoon i'm going to the store.
IX-1p HAVE APPOINTMENT (1h)NOW+AFTERNOON2 WITH POSS-1p TEACH+AGENT	i have an appointment this afternoon with my teacher.
IF+ PRESIDENT VOTE AGAIN POSS-1p FATHER fs-UPSET FUTURE	if the president is elected again, my father will be upset.
IX-2p THINK+ fs-OBAMA VOTE AGAIN SECOND PRESIDENT QMwg	do you think obama will be elected again for his second term as president?
IX-1p MUST TAKE-UP TEST AGAIN	i have to take the test again.
IX-1p THINK fs-OBAMA FUTURE WIN AGAIN part:indef	i think obama will win again.
NEXT-WEEK IX-1p DEPART SPEND MONEY AGAIN	i'm going out again next week to spend all my money.
NEXT-WEEK IX-1p GO          AGAIN MOVIE	i'm going to the movies again next week.
VOLUNTEER/SHIRT+ IX-3p:i WIN REPUBLICAN CLASS2 IX-3p:i FUTURE COMPETITION++ AGAINST fs-OBAMA NEXT VOTE++	the candidate who wins the republican primary will run against obama in the next election.
THAT AGENT IX-3p:i WHO STEAL PAINT2+ IX-loc:i IX-3p-pl-arc REFUSE NAB IX-3p:i	they won't catch the thief that stole the paintings.
fs-MARY IX-3p:i SELF-3p+:i VEGETABLE+AGENT	mary is a vegetarian.
fs-MARY SELF-3p+:i NOT VEGETABLE+AGENT	mary isn't a vegetarian.
TEACH+AGENT DISTRIBUTE ANSWER TO/UNTIL TEST	the teacher gave out the answers to the test.
IX-1p MUST DISCUSS HOW IX-1p CONFRONT TEACH+AGENT REGULAR part:indef	i have to discuss how i should approach the teacher appropriately.
TEACH+AGENT IX-3p:i REQUIRE IX-3p:j fs-JOHN MUST READ+ BOOK	the teacher made the reading required for john so he had to read the book.
IX-3p:i TEACH+AGENT NOT REQUIRE READ+ DROP IX-3p:j fs-JOHN IX-loc:j NOT READ	the teacher didn't make the reading required so john didn't read.
TEACH+AGENT REQUIRE fs-JOHN IX-3p:i FUTURE READ BOOK+	if the teacher requires john to do it,  john will read the book.
WHEN IX-3p:i PRESIDENT DEPART IX-1p TALK WITH IX-3p:j ANSWER+AGENT	when the president leaves, i will talk with the reporter.
IX-3p-pl-arc AGREE	do you all agree?
IX-1p LOVE GET-IN+ AIRPLANE FLY-BY-PLANE              DIFFERENT PLACE	i love riding in airplanes and flying different places.
AIRPLANE IX-loc:i KICK-OUT WHO IX-3p:j fs-ALEC-BALDWIN	who was kicked out of the plane? alec baldwin.
REALLY POSS-1p+ OPPOSITE FRIEND DO-DO+ ALARM+	my worst enemy is my alarm clock.
